ID,errorSignature,iFlowName,severity,incidentCount,firstSeen,lastSeen,status,playbookId,severityCriticality,createdAt,createdBy,modifiedAt,modifiedBy
c1111111-1111-1111-1111-111111111111,TIMEOUT_ERROR,SalesOrderSync,CRITICAL,12,2026-05-11T08:00:00Z,2026-05-11T12:00:00Z,Open,b1111111-1111-1111-1111-111111111111,1,2026-05-11T12:00:00Z,admin,2026-05-11T12:00:00Z,admin
c2222222-2222-2222-2222-222222222222,AUTH_FAILURE,BusinessPartnerReplication,HIGH,7,2026-05-11T08:15:00Z,2026-05-11T11:00:00Z,In Progress,b2222222-2222-2222-2222-222222222222,2,2026-05-11T11:00:00Z,admin,2026-05-11T11:00:00Z,admin
c3333333-3333-3333-3333-333333333333,MAPPING_ERROR,InvoiceProcessing,MEDIUM,5,2026-05-11T09:00:00Z,2026-05-11T10:00:00Z,Resolved,b3333333-3333-3333-3333-333333333333,3,2026-05-11T10:00:00Z,admin,2026-05-11T10:00:00Z,admin
c4444444-4444-4444-4444-444444444444,HOST_UNREACHABLE,VendorSync,CRITICAL,15,2026-05-11T09:20:00Z,2026-05-11T12:10:00Z,Open,b4444444-4444-4444-4444-444444444444,1,2026-05-11T12:10:00Z,admin,2026-05-11T12:10:00Z,admin
c5555555-5555-5555-5555-555555555555,TOKEN_EXPIRED,CustomerReplication,HIGH,8,2026-05-11T10:00:00Z,2026-05-11T11:30:00Z,Resolved,b5555555-5555-5555-5555-555555555555,2,2026-05-11T11:30:00Z,admin,2026-05-11T11:30:00Z,admin
c6666666-6666-6666-6666-666666666666,XML_PARSE_ERROR,MaterialMasterSync,LOW,3,2026-05-11T10:30:00Z,2026-05-11T10:45:00Z,Resolved,b6666666-6666-6666-6666-666666666666,5,2026-05-11T10:45:00Z,admin,2026-05-11T10:45:00Z,admin
c7777777-7777-7777-7777-777777777777,DB_DEADLOCK,FinancePosting,CRITICAL,20,2026-05-11T11:00:00Z,2026-05-11T12:20:00Z,Open,b7777777-7777-7777-7777-777777777777,1,2026-05-11T12:20:00Z,admin,2026-05-11T12:20:00Z,admin
c8888888-8888-8888-8888-888888888888,SERVER_ERROR,PurchaseOrderSync,HIGH,10,2026-05-11T11:20:00Z,2026-05-11T12:15:00Z,In Progress,b8888888-8888-8888-8888-888888888888,2,2026-05-11T12:15:00Z,admin,2026-05-11T12:15:00Z,admin
c9999999-9999-9999-9999-999999999999,TIMEOUT_ERROR,EmployeeReplication,MEDIUM,6,2026-05-11T12:00:00Z,2026-05-11T12:25:00Z,Resolved,b9999999-9999-9999-9999-999999999999,3,2026-05-11T12:25:00Z,admin,2026-05-11T12:25:00Z,admin
caaaaaaaa-aaaa-aaaa-aaaa-aaaaaaaaaaaa,SSL_ERROR,WarehouseSync,LOW,2,2026-05-11T12:30:00Z,2026-05-11T12:40:00Z,Open,baaaaaaa-aaaa-aaaa-aaaa-aaaaaaaaaaaa,5,2026-05-11T12:40:00Z,admin,2026-05-11T12:40:00Z,admin
