ID,messageGuid,iFlowName,errorMessage,errorSignature,adapter,status,logStart,logEnd,createdAt,createdBy,modifiedAt,modifiedBy
11111111-1111-1111-1111-111111111111,MSG-1001,SalesOrderSync,"Connection timeout while calling S4HANA","TIMEOUT_ERROR",HTTP,FAILED,2026-05-11T08:00:00Z,2026-05-11T08:02:00Z,2026-05-11T08:02:00Z,admin,2026-05-11T08:02:00Z,admin
22222222-2222-2222-2222-222222222222,MSG-1002,BusinessPartnerReplication,"Authentication failed for target API","AUTH_FAILURE",REST,FAILED,2026-05-11T08:15:00Z,2026-05-11T08:16:00Z,2026-05-11T08:16:00Z,admin,2026-05-11T08:16:00Z,admin
33333333-3333-3333-3333-333333333333,MSG-1003,InvoiceProcessing,"Payload mapping exception occurred","MAPPING_ERROR",SOAP,FAILED,2026-05-11T09:00:00Z,2026-05-11T09:03:00Z,2026-05-11T09:03:00Z,admin,2026-05-11T09:03:00Z,admin
44444444-4444-4444-4444-444444444444,MSG-1004,VendorSync,"Remote host unavailable","HOST_UNREACHABLE",HTTP,FAILED,2026-05-11T09:20:00Z,2026-05-11T09:21:00Z,2026-05-11T09:21:00Z,admin,2026-05-11T09:21:00Z,admin
55555555-5555-5555-5555-555555555555,MSG-1005,CustomerReplication,"OAuth token expired","TOKEN_EXPIRED",REST,FAILED,2026-05-11T10:00:00Z,2026-05-11T10:01:00Z,2026-05-11T10:01:00Z,admin,2026-05-11T10:01:00Z,admin
66666666-6666-6666-6666-666666666666,MSG-1006,MaterialMasterSync,"Invalid XML structure detected","XML_PARSE_ERROR",SOAP,FAILED,2026-05-11T10:30:00Z,2026-05-11T10:32:00Z,2026-05-11T10:32:00Z,admin,2026-05-11T10:32:00Z,admin
77777777-7777-7777-7777-777777777777,MSG-1007,FinancePosting,"Database deadlock encountered","DB_DEADLOCK",JDBC,FAILED,2026-05-11T11:00:00Z,2026-05-11T11:04:00Z,2026-05-11T11:04:00Z,admin,2026-05-11T11:04:00Z,admin
88888888-8888-8888-8888-888888888888,MSG-1008,PurchaseOrderSync,"Target API returned HTTP 500","SERVER_ERROR",HTTP,FAILED,2026-05-11T11:20:00Z,2026-05-11T11:22:00Z,2026-05-11T11:22:00Z,admin,2026-05-11T11:22:00Z,admin
99999999-9999-9999-9999-999999999999,MSG-1009,EmployeeReplication,"Request exceeded timeout threshold","TIMEOUT_ERROR",REST,FAILED,2026-05-11T12:00:00Z,2026-05-11T12:05:00Z,2026-05-11T12:05:00Z,admin,2026-05-11T12:05:00Z,admin
aaaaaaaa-aaaa-aaaa-aaaa-aaaaaaaaaaaa,MSG-1010,WarehouseSync,"SSL handshake failure","SSL_ERROR",HTTPS,FAILED,2026-05-11T12:30:00Z,2026-05-11T12:31:00Z,2026-05-11T12:31:00Z,admin,2026-05-11T12:31:00Z,admin
